evaluation_slice,dataset_split,task,target,model_name,feature_set,train_rows,evaluation_rows,n_numeric_features,n_categorical_features,selected_threshold,auroc,log_loss,brier_score,expected_calibration_error,predicted_positive_rate,balanced_accuracy,f1,rmse,mae,selection_metric,selection_split,selection_value
all,test,classification,completion,gradient_boosting,full,20693,20116,58,29,0.5,0.586932052494524,1.1406702561852324,0.39796368647664604,0.3859921736335699,0.09673891429707696,0.5543201728008935,0.24427255985267035,,,balanced_accuracy,test,0.5543201728008935
all,test,classification,explosive,logistic_regression,context_plus_motion,20693,20116,36,29,0.5,0.6083780403807428,0.38211715575858096,0.11330572175268692,0.17414920683085977,0.0216742891230861,0.5116865482826244,0.06820365033621517,,,balanced_accuracy,test,0.5116865482826244
all,test,classification,success,logistic_regression,full,20693,20116,58,29,0.5,0.5654922592058973,0.7810492465118142,0.2850530562526051,0.1965303069860604,0.0188407238019487,0.5029613607225834,0.04236227045075125,,,balanced_accuracy,test,0.5029613607225834
all,test,regression,epa,gradient_boosting,context_only,20693,20116,49,18,,,,,,,,,1.6686306288998818,1.1480035244453546,rmse,test,1.6686306288998818
tracking_only,test,classification,completion,gradient_boosting,full,20693,143,58,29,0.5,0.5808080808080808,0.6062007173348952,0.20695550103575175,0.07129642360996732,0.9300699300699301,0.547979797979798,0.8189655172413793,,,balanced_accuracy,test,0.547979797979798
tracking_only,test,classification,explosive,logistic_regression,full,20693,143,58,29,0.5,0.7464008859357697,0.7994708789197077,0.29744455315036805,0.43621801291345724,0.6363636363636364,0.6619601328903655,0.24761904761904763,,,balanced_accuracy,test,0.6619601328903655
tracking_only,test,classification,success,gradient_boosting,context_only,20693,143,49,18,0.5,0.5776470588235294,0.6892070716477272,0.2469993226829204,0.10046835323910447,0.6923076923076923,0.5431372549019607,0.632183908045977,,,balanced_accuracy,test,0.5431372549019607
tracking_only,test,regression,epa,ridge_regression,full,20693,143,58,29,,,,,,,,,1.59191191347107,1.1264462830666722,rmse,test,1.59191191347107
