group_column,group_value,n_obs,auroc,log_loss,brier_score,expected_calibration_error,predicted_positive_rate,balanced_accuracy,f1,model_name,feature_set,task,target,dataset_split,evaluation_slice,rmse,mae
box_bucket,loaded_box,509,0.5548416988416989,0.7645856624929606,0.2817722678405766,0.18487341055609752,0.005893909626719057,0.5018610038610039,0.015267175572519083,logistic_regression,context_only,classification,success,test,all,,
box_bucket,standard_box,13855,0.5736802535143439,0.7381367443368811,0.2693917841609735,0.1572019506781061,0.012702995308552869,0.5031547406262361,0.03127819548872181,logistic_regression,context_only,classification,success,test,all,,
down_bucket,early_down,96,0.5603298611111112,0.7451901574938283,0.2717685151421236,0.14933087099236905,0.9479166666666666,0.5104166666666667,0.6618705035971223,logistic_regression,context_only,classification,success,test,tracking_only,,
distance_bucket,long,92,0.5358329378262934,0.7117754482162075,0.25766291641560385,0.12078810296567276,0.8478260869565217,0.5099667774086378,0.6614173228346457,logistic_regression,context_only,classification,success,test,tracking_only,,
field_zone,backed_up,84,0.5382870107770845,0.7438568077779172,0.2707530593767818,0.13892673325311425,0.9047619047619048,0.5022688598979013,0.6554621848739496,logistic_regression,context_only,classification,success,test,tracking_only,,
pressure_bucket,standard_rush,143,0.5650980392156862,0.7178007286852353,0.25985340161241244,0.1197932617115796,0.8811188811188811,0.5128431372549019,0.6666666666666666,logistic_regression,context_only,classification,success,test,tracking_only,,
score_state,one_score,67,0.6071428571428571,0.679581487812177,0.2407576872391567,0.11713771729013134,0.8805970149253731,0.5508241758241759,0.7346938775510204,logistic_regression,context_only,classification,success,test,tracking_only,,
score_state,trailing_big,55,0.5371352785145889,0.7344366874362128,0.2699084624789267,0.160838778222277,0.8727272727272727,0.47480106100795755,0.5945945945945946,logistic_regression,context_only,classification,success,test,tracking_only,,
qb_location,S,115,0.5946439440048691,0.6876258907715588,0.24699429071101153,0.10341688965264458,0.8521739130434782,0.5203895313451005,0.675,logistic_regression,context_only,classification,success,test,tracking_only,,
starting_hash,L,66,0.5908667287977633,0.7690922674136543,0.2826181973279814,0.20384906341300002,0.9393939393939394,0.5232991612301957,0.6153846153846154,logistic_regression,context_only,classification,success,test,tracking_only,,
starting_hash,R,60,0.5714285714285714,0.6818128312338361,0.24419725292723776,0.1011673404853334,0.8833333333333333,0.5028571428571429,0.7045454545454546,logistic_regression,context_only,classification,success,test,tracking_only,,
box_bucket,standard_box,103,0.5735632183908047,0.6872750314652133,0.24661130453215088,0.08789524247770716,0.8932038834951457,0.5235632183908047,0.7066666666666667,logistic_regression,context_only,classification,success,test,tracking_only,,
down_bucket,early_down,14162,0.5433526625283244,0.7874367092516787,0.2906673625711456,0.20605942039683964,0.005295862166360683,0.5005671269790714,0.011643137825644011,gradient_boosting,context_only,classification,success,test,all,,
down_bucket,late_down,5954,0.6134472807367295,0.7390116012509376,0.26499556720966494,0.179128878247041,0.004366812227074236,0.5022590415232956,0.013963039014373716,gradient_boosting,context_only,classification,success,test,all,,
distance_bucket,long,13759,0.5742454601308344,0.76467144712829,0.27854641144666376,0.19095433248772567,0.0042154226324587546,0.5009536984555149,0.010466067048242027,gradient_boosting,context_only,classification,success,test,all,,
distance_bucket,medium,4319,0.5490584320608454,0.7851373819505947,0.28916033409778596,0.2044973379838815,0.006019912016670526,0.5007986388939077,0.013552758954501452,gradient_boosting,context_only,classification,success,test,all,,
distance_bucket,short,2038,0.5433635146151159,0.8045294193265917,0.3006924621373526,0.23266651903180172,0.008341511285574092,0.5017380924653546,0.019555555555555555,gradient_boosting,context_only,classification,success,test,all,,
field_zone,backed_up,11014,0.5857048208138094,0.776341805097129,0.2845422837835493,0.20466960121026256,0.0055384056655166155,0.5003621581044763,0.01171875,gradient_boosting,context_only,classification,success,test,all,,
field_zone,red_zone,2754,0.5627976540511302,0.740398843190071,0.2672927146348889,0.16472190062853215,0.002178649237472767,0.5026064291920069,0.010371650821089023,gradient_boosting,context_only,classification,success,test,all,,
field_zone,scoring_range,6348,0.556062918264709,0.7816740224929299,0.2873569543482062,0.2014254283755407,0.005356017643352237,0.5015672805904263,0.013865962363816441,gradient_boosting,context_only,classification,success,test,all,,
pressure_bucket,standard_rush,20115,0.5738749566790464,0.7730892722630762,0.2830617102065633,0.19801226497746177,0.005021128511061397,0.5010801659796454,0.012251477700161204,gradient_boosting,context_only,classification,success,test,all,,
score_state,leading_big,2264,0.5697473936666784,0.7977297920806484,0.29483612462037007,0.22179214077511747,0.0066254416961130744,0.5015432930616263,0.016216216216216217,gradient_boosting,context_only,classification,success,test,all,,
score_state,one_score,12762,0.5757790332197076,0.7654546413726784,0.28027312167358975,0.1917050508425028,0.003917881209841718,0.5011134591920544,0.01015916017609211,gradient_boosting,context_only,classification,success,test,all,,
