evaluation_slice,task,target,model_name,group_column,group_value,dataset_split,n_obs_full,auroc_full,log_loss_full,brier_score_full,expected_calibration_error_full,rmse_full,mae_full,n_obs_context_plus_motion,auroc_context_plus_motion,log_loss_context_plus_motion,brier_score_context_plus_motion,expected_calibration_error_context_plus_motion,rmse_context_plus_motion,mae_context_plus_motion,improvement_auroc,improvement_log_loss,improvement_brier_score,improvement_expected_calibration_error,improvement_rmse,improvement_mae,candidate_feature_set,baseline_feature_set
all,classification,completion,gradient_boosting,score_state,trailing_big,test,5090,0.5671154945629601,1.1703662224337688,0.4042351119943532,0.3911458403622009,,,5090,0.564589557280329,1.2177832430427005,0.41231321525456394,0.39972702890505996,,,0.0025259372826310633,0.047417020608931715,0.008078103260210745,0.008581188542859053,,,full,context_plus_motion
all,classification,completion,gradient_boosting,starting_hash,0,test,227,0.5141945773524721,1.234321105471459,0.4365069771671634,0.44231543173766724,,,227,0.5042663476874003,1.2771357131058771,0.4442413737758759,0.45144237896269485,,,0.009928229665071786,0.042814607634418245,0.0077343966087125016,0.009126947225027604,,,full,context_plus_motion
all,classification,completion,gradient_boosting,starting_hash,L,test,9159,0.5870777484690672,1.1369578904145432,0.3962903801648876,0.3818944450786385,,,9159,0.5897620576690197,1.173648429930814,0.4026989720741855,0.3893303919543434,,,-0.0026843091999524393,0.03669053951627088,0.006408591909297878,0.0074359468757048686,,,full,context_plus_motion
all,classification,completion,gradient_boosting,starting_hash,M,test,2114,0.5802181560335936,1.1505238488307046,0.401425288027396,0.3919434377522994,,,2114,0.5895425077353764,1.186426064978449,0.40751005687506825,0.3997281596053715,,,-0.009324351701782807,0.03590221614774447,0.006084768847672228,0.007784721853072107,,,full,context_plus_motion
all,classification,completion,gradient_boosting,starting_hash,R,test,8616,0.589580565996152,1.1397315747150887,0.3978776442115998,0.38766079911261964,,,8616,0.5915183638675279,1.1745705376746787,0.40384413179561796,0.3948034863089062,,,-0.0019377978713758237,0.03483896295958999,0.005966487584018132,0.007142687196286579,,,full,context_plus_motion
all,classification,completion,logistic_regression,box_bucket,light_box,test,5752,0.5948227502349623,1.2653781497578596,0.41523318291542805,0.41177070671035126,,,5752,0.5974489446271929,1.2684555766008208,0.4158030625978503,0.4128785629116902,,,-0.002626194392230552,0.003077426842961195,0.0005698796824222807,0.0011078562013389082,,,full,context_plus_motion
all,classification,completion,logistic_regression,box_bucket,loaded_box,test,509,0.6090661103979461,1.5048460239577692,0.4712810475187306,0.48349951780086287,,,509,0.6070603337612324,1.5041281182888835,0.4707806890017549,0.4830128402263167,,,0.002005776636713752,-0.0007179056688857433,-0.0005003585169757185,-0.0004866775745461793,,,full,context_plus_motion
all,classification,completion,logistic_regression,box_bucket,standard_box,test,13855,0.597517684090943,1.3523471115352668,0.4390755938093645,0.4378754956971332,,,13855,0.5988872817098367,1.357362373693931,0.43982342123371726,0.4389703668894749,,,-0.0013695976188937697,0.005015262158664324,0.0007478274243527538,0.0010948711923416954,,,full,context_plus_motion
all,classification,completion,logistic_regression,distance_bucket,long,test,13759,0.5916790565836504,1.3337001745047354,0.4364490170222326,0.4357795530688091,,,13759,0.5929256913770777,1.3361836674565428,0.4368064562739544,0.43644763832586353,,,-0.001246634793427348,0.0024834929518073867,0.000357439251721825,0.0006680852570544182,,,full,context_plus_motion
all,classification,completion,logistic_regression,distance_bucket,medium,test,4319,0.5952071702949364,1.311678051791612,0.41898830412935795,0.41619140157260215,,,4319,0.5980619156210922,1.3226005739346478,0.4206964071484344,0.4183932317962093,,,-0.0028547453261558164,0.010922522143035795,0.001708103019076479,0.0022018302236071485,,,full,context_plus_motion
