n_context_groups,n_obs,motion_rows,no_motion_rows,adjusted_motion_mean,adjusted_no_motion_mean,adjusted_effect,effect_ci_lower,effect_ci_upper,effect_direction,target,target_column,dataset_split
33,18690,9314,9376,0.4567824305547381,0.45314154996342765,0.0036408805913104155,-0.003191446433468376,0.005968051146372194,unclear,success,target_success,test
33,18690,9314,9376,0.08462934343869735,0.08472927487155982,-9.99314328624689e-05,0.003176403547140098,0.009005726904479651,unclear,explosive,target_explosive,test
33,18690,9314,9376,0.5968011202653044,0.5662979697795623,0.030503150485742273,0.024106260976990406,0.04041087263900346,helps,completion,target_completion,test
33,18690,9314,9376,0.04978763353995656,0.051629218474601876,-0.001841584934645312,-0.024111620422432884,0.014855015128816013,unclear,epa,target_epa,test
