evaluation_slice,task,target,model_name,dataset_split,auroc_full,log_loss_full,brier_score_full,expected_calibration_error_full,rmse_full,mae_full,auroc_context_plus_motion,log_loss_context_plus_motion,brier_score_context_plus_motion,expected_calibration_error_context_plus_motion,rmse_context_plus_motion,mae_context_plus_motion,improvement_auroc,improvement_log_loss,improvement_brier_score,improvement_expected_calibration_error,improvement_rmse,improvement_mae,candidate_feature_set,baseline_feature_set
all,classification,completion,gradient_boosting,test,0.586932052494524,1.1406702561852324,0.39796368647664604,0.3859921736335699,,,0.5898513701606711,1.176553998338677,0.40416384852155135,0.39309283588623806,,,-0.00291931766614717,0.03588374215344459,0.006200162044905311,0.007100662252668144,,,full,context_plus_motion
all,classification,completion,logistic_regression,test,0.5947673325918392,1.3313377895169436,0.4330729605063293,0.43144747051808024,,,0.5964535827092841,1.3356538763345784,0.4337383221295428,0.4325221471436618,,,-0.0016862501174448319,0.0043160868176348455,0.0006653616232134563,0.0010746766255815277,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,test,0.5777122403345611,0.3034325514194029,0.07716919116972311,0.051021928680366646,,,0.5762394240833218,0.30616666400727127,0.07728821814102552,0.051641970854166476,,,0.001472816251239295,0.002734112587868376,0.0001190269713024078,0.0006200421737998299,,,full,context_plus_motion
all,classification,explosive,logistic_regression,test,0.6008879789958561,0.3757797316284185,0.11047408500302974,0.16732464566978622,,,0.6083780403807428,0.38211715575858096,0.11330572175268692,0.17414920683085977,,,-0.007490061384886726,0.006337424130162472,0.002831636749657182,0.00682456116107355,,,full,context_plus_motion
all,classification,success,gradient_boosting,test,0.5582781699604886,0.8199793161981208,0.29924431440878135,0.22674143564750673,,,0.5529515310558476,0.8150446418002618,0.2976405459936257,0.22212510039487215,,,0.005326638904641023,-0.004934674397858996,-0.0016037684151556375,-0.004616335252634579,,,full,context_plus_motion
all,classification,success,logistic_regression,test,0.5654922592058973,0.7810492465118142,0.2850530562526051,0.1965303069860604,,,0.5647666012965203,0.7805494827495001,0.2848911935204555,0.19584138848046548,,,0.0007256579093769533,-0.0004997637623140871,-0.0001618627321495758,-0.0006889185055949099,,,full,context_plus_motion
all,regression,epa,gradient_boosting,test,,,,,1.721807118551207,1.1895741478790642,,,,,1.7339794101474104,1.1975460203556179,,,,,0.012172291596203477,0.00797187247655362,full,context_plus_motion
all,regression,epa,ridge_regression,test,,,,,1.7357761555280222,1.2402861652916848,,,,,1.7353686472800935,1.2392188484944717,,,,,-0.00040750824792867846,-0.0010673167972130582,full,context_plus_motion
tracking_only,classification,completion,gradient_boosting,test,0.5808080808080808,0.6062007173348952,0.20695550103575175,0.07129642360996732,,,0.5702479338842976,0.6206065225185555,0.21212948597448916,0.05357210979562452,,,0.010560146923783154,0.014405805183660303,0.005173984938737414,-0.017724313814342807,,,full,context_plus_motion
tracking_only,classification,completion,logistic_regression,test,0.5633608815426998,0.6345468652899601,0.2205922237924937,0.09381726472611746,,,0.5165289256198348,0.653896657870212,0.2299967381912974,0.11762585658795513,,,0.04683195592286504,0.019349792580251934,0.009404514398803687,0.023808591861837675,,,full,context_plus_motion
tracking_only,classification,explosive,gradient_boosting,test,0.7137320044296789,0.29607060639711846,0.08550551655092956,0.03079306765999655,,,0.7320044296788483,0.28513682406842805,0.0812389708067329,0.02535026616002922,,,-0.01827242524916939,-0.010933782328690411,-0.004266545744196659,-0.005442801499967332,,,full,context_plus_motion
tracking_only,classification,explosive,logistic_regression,test,0.7464008859357697,0.7994708789197077,0.29744455315036805,0.43621801291345724,,,0.7170542635658914,0.8979237339777286,0.3388591441960924,0.47765067364025804,,,0.029346622369878284,0.09845285505802093,0.04141459104572437,0.041432660726800796,,,full,context_plus_motion
tracking_only,classification,success,gradient_boosting,test,0.5617647058823529,0.6924112502257755,0.24889398619573821,0.07061484765742243,,,0.528235294117647,0.7046422191190028,0.2550326259464398,0.04402740182063337,,,0.03352941176470592,0.012230968893227279,0.006138639750701558,-0.026587445836789063,,,full,context_plus_motion
tracking_only,classification,success,logistic_regression,test,0.5643137254901961,0.70911336078148,0.25601521521751497,0.1373312903054539,,,0.514313725490196,0.7199848030609312,0.2614503434244615,0.10565435492265793,,,0.050000000000000044,0.010871442279451138,0.005435128206946527,-0.03167693538279598,,,full,context_plus_motion
tracking_only,regression,epa,gradient_boosting,test,,,,,1.6006222428109746,1.1266569899093872,,,,,1.6242200429866125,1.1407286993427732,,,,,0.02359780017563784,0.014071709433385982,full,context_plus_motion
tracking_only,regression,epa,ridge_regression,test,,,,,1.59191191347107,1.1264462830666722,,,,,1.6042511729742341,1.1335237662569988,,,,,0.012339259503164168,0.007077483190326639,full,context_plus_motion
