evaluation_slice,task,target,model_name,group_column,group_value,dataset_split,n_obs_context_plus_motion,auroc_context_plus_motion,log_loss_context_plus_motion,brier_score_context_plus_motion,expected_calibration_error_context_plus_motion,rmse_context_plus_motion,mae_context_plus_motion,n_obs_context_only,auroc_context_only,log_loss_context_only,brier_score_context_only,expected_calibration_error_context_only,rmse_context_only,mae_context_only,improvement_auroc,improvement_log_loss,improvement_brier_score,improvement_expected_calibration_error,improvement_rmse,improvement_mae,candidate_feature_set,baseline_feature_set
all,classification,completion,gradient_boosting,starting_hash,0,test,227,0.5042663476874003,1.2771357131058771,0.4442413737758759,0.45144237896269485,,,227,0.47990430622009567,0.8856329376540892,0.3318527923471041,0.2780913687517428,,,0.02436204146730464,-0.3915027754517879,-0.11238858142877184,-0.17335101021095206,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,starting_hash,L,test,9159,0.5897620576690197,1.173648429930814,0.4026989720741855,0.3893303919543434,,,9159,0.5637702091480142,0.8464619058623243,0.3149648200542386,0.26611632130211843,,,0.025991848521005445,-0.3271865240684898,-0.08773415201994689,-0.12321407065222495,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,starting_hash,M,test,2114,0.5895425077353764,1.186426064978449,0.40751005687506825,0.3997281596053715,,,2114,0.5652557278620893,0.8495376200102779,0.3160631397611743,0.2700419278667985,,,0.02428677987328709,-0.33688844496817116,-0.09144691711389397,-0.12968623173857302,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,starting_hash,R,test,8616,0.5915183638675279,1.1745705376746787,0.40384413179561796,0.3948034863089062,,,8616,0.575084103885755,0.8468196271667839,0.3145287035533477,0.2672714135994421,,,0.016434259981772836,-0.32775091050789473,-0.08931542824227023,-0.1275320727094641,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,box_bucket,light_box,test,5752,0.5974489446271929,1.2684555766008208,0.4158030625978503,0.4128785629116902,,,5752,0.5742559523809525,0.891991051203383,0.33488223245419385,0.3030166734485735,,,0.023192992246240385,-0.3764645253974378,-0.08092083014365647,-0.10986188946311665,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,box_bucket,loaded_box,test,509,0.6070603337612324,1.5041281182888835,0.4707806890017549,0.4830128402263167,,,509,0.5717265725288831,0.9523064058411405,0.3606464820141909,0.3521431682539954,,,0.035333761232349215,-0.551821712447743,-0.11013420698756399,-0.1308696719723213,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,box_bucket,standard_box,test,13855,0.5988872817098367,1.357362373693931,0.43982342123371726,0.4389703668894749,,,13855,0.5663275947199549,0.9050658909220852,0.34239375510280456,0.3204034965945149,,,0.032559686989881875,-0.45229648277184586,-0.0974296661309127,-0.11856687029495999,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,distance_bucket,long,test,13759,0.5929256913770777,1.3361836674565428,0.4368064562739544,0.43644763832586353,,,13759,0.5599451668154771,0.9007477613223044,0.3415175685805718,0.32002441441823437,,,0.03298052456160061,-0.43543590613423844,-0.09528888769338262,-0.11642322390762916,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,distance_bucket,medium,test,4319,0.5980619156210922,1.3226005739346478,0.4206964071484344,0.4183932317962093,,,4319,0.5739939542506935,0.9059372763261062,0.3384251053761581,0.3063804771168457,,,0.024067961370398683,-0.4166632976085416,-0.08227130177227632,-0.11201275467936361,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,distance_bucket,short,test,2038,0.580863793586987,1.3597401457252507,0.44066352974016354,0.437433011775874,,,2038,0.5667525552335546,0.907268332352529,0.34007795934808094,0.3108072854080218,,,0.01411123835343242,-0.4524718133727217,-0.1005855703920826,-0.1266257263678522,,,context_plus_motion,context_only
